Fecha;Petroleo;Gas;Oro;Plata
01-2010;76,37;5,81;1117,96;17,75
02-2010;74,31;5,34;1095,41;15,87
03-2010;79,27;4,29;1113,34;17,11
04-2010;84,98;4,01;1148,69;18,06
05-2010;76,25;4,16;1205,43;18,43
06-2010;74,84;4,79;1232,92;18,45
07-2010;74,74;4,63;1192,97;17,96
08-2010;76,69;4,31;1215,81;18,39
09-2010;77,79;3,90;1270,98;20,55
10-2010;82,92;3,43;1342,02;23,39
11-2010;85,67;3,73;1369,89;26,54
12-2010;91,80;4,24;1390,55;29,32
01-2011;96,29;4,49;1360,46;28,51
02-2011;103,96;4,07;1374,68;30,78
03-2011;114,44;3,97;1423,26;35,81
04-2011;123,07;4,24;1480,89;42,70
05-2011;114,46;4,31;1512,58;37,34
06-2011;113,76;4,55;1529,36;35,80
07-2011;116,46;4,41;1572,75;37,92
08-2011;110,08;4,05;1759,01;40,33
09-2011;110,88;3,90;1772,14;38,15
10-2011;109,47;3,57;1666,43;31,97
11-2011;110,50;3,24;1739,00;33,08
12-2011;107,91;3,16;1639,97;30,30
01-2012;111,16;2,68;1654,05;30,65
02-2012;119,70;2,52;1744,82;34,14
03-2012;124,93;2,17;1675,95;32,95
04-2012;120,46;1,95;1649,20;31,53
05-2012;110,52;2,44;1589,04;28,72
06-2012;95,59;2,46;1598,76;27,98
07-2012;103,14;2,95;1594,29;27,43
08-2012;113,34;2,84;1630,31;28,80
09-2012;113,38;2,84;1744,81;33,61
10-2012;111,97;3,32;1746,58;33,19
11-2012;109,71;3,54;1721,64;32,77
12-2012;109,68;3,34;1684,76;31,87
01-2013;112,97;3,33;1671,85;31,06
02-2013;116,52;3,33;1627,57;30,33
03-2013;109,24;3,81;1593,09;28,79
04-2013;102,88;4,17;1487,86;25,36
05-2013;103,03;4,04;1414,03;23,04
06-2013;103,11;3,83;1343,35;21,11
07-2013;107,72;3,62;1285,52;19,71
08-2013;110,96;3,43;1351,74;21,89
09-2013;111,62;3,62;1348,60;22,56
10-2013;109,48;3,67;1316,58;21,92
11-2013;108,08;3,62;1275,86;20,76
12-2013;110,67;4,24;1221,51;19,67
01-2014;107,42;4,70;1244,27;19,88
02-2014;108,81;5,97;1299,58;20,85
03-2014;107,40;4,88;1336,08;20,72
04-2014;107,79;4,63;1298,45;19,74
05-2014;109,68;4,56;1288,74;19,34
06-2014;111,87;4,57;1279,10;19,89
